PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0001_01,Europa,0,B/0/P,TRAPPIST-1e,39,0,0,0,0,0,0,Maham Ofracculy,0
0002_01,Earth,0,F/0/S,TRAPPIST-1e,24,0,109,9,25,549,44,Juanna Vines,1
0003_01,Europa,0,A/0/S,TRAPPIST-1e,58,1,43,3576,0,6715,49,Altark Susent,0
0003_02,Europa,0,A/0/S,TRAPPIST-1e,33,0,0,1283,371,3329,193,Solam Susent,0
0004_01,Earth,0,F/1/S,TRAPPIST-1e,16,0,303,70,151,565,2,Willy Santantines,1
0005_01,Earth,0,F/0/P,PSO J318.5-22,44,0,0,483,0,291,0,Sandie Hinetthews,1
0006_01,Earth,0,F/2/S,TRAPPIST-1e,26,0,42,1539,3,0,0,Billex Jacostaffey,1
0006_02,Earth,1,G/0/S,TRAPPIST-1e,28,0,0,0,0,0,,Candra Jacostaffey,1
0007_01,Earth,0,F/3/S,TRAPPIST-1e,35,0,0,785,17,216,0,Andona Beston,1
0008_01,Europa,1,B/1/P,55 Cancri e,14,0,0,0,0,0,0,Erraiam Flatic,1
0008_02,Europa,1,B/1/P,TRAPPIST-1e,34,0,0,0,,0,0,Altardr Flatic,1
0008_03,Europa,0,B/1/P,55 Cancri e,45,0,39,7295,589,110,124,Wezena Flatic,1
0009_01,Mars,0,F/1/P,TRAPPIST-1e,32,0,73,0,1123,0,113,Berers Barne,1
0010_01,Earth,0,G/1/S,TRAPPIST-1e,48,0,719,1,65,0,24,Reney Baketton,0
0011_01,Earth,0,F/2/P,TRAPPIST-1e,28,0,8,974,12,2,7,Elle Bertsontry,1
0012_01,Earth,0,,TRAPPIST-1e,31,0,32,0,876,0,0,Justie Pooles,0
0014_01,Mars,0,F/3/P,55 Cancri e,27,0,1286,122,,0,0,Flats Eccle,0
0015_01,Earth,0,F/4/P,55 Cancri e,24,0,0,1,0,0,637,Carry Hughriend,0
0016_01,Mars,1,F/5/P,TRAPPIST-1e,45,0,0,0,0,0,0,Alus Upead,1
0017_01,Earth,0,G/0/P,TRAPPIST-1e,0,0,0,0,0,0,0,Lyde Brighttt,1
0017_02,Earth,0,F/6/P,55 Cancri e,14,0,412,0,1,0,679,Philda Brighttt,0
0020_01,Earth,1,E/0/S,TRAPPIST-1e,1,0,0,0,0,0,0,Almary Brantuarez,0
0020_02,Earth,1,E/0/S,55 Cancri e,49,0,0,0,0,0,0,Glendy Brantuarez,0
0020_03,Earth,1,E/0/S,55 Cancri e,29,0,0,0,,0,0,Mollen Mcfaddennon,0
0020_04,Earth,0,E/0/S,TRAPPIST-1e,10,0,0,0,0,0,0,Breney Jacostanley,1
0020_05,Earth,1,E/0/S,PSO J318.5-22,1,0,,0,0,0,0,Mael Brantuarez,0
0020_06,Earth,0,E/0/S,TRAPPIST-1e,7,0,0,0,0,0,0,Terta Mcfaddennon,0
0022_01,Mars,0,D/0/P,TRAPPIST-1e,21,0,980,2,69,0,0,,0
0024_01,Europa,1,C/2/S,TRAPPIST-1e,62,0,0,0,,0,0,Penton Fullided,1
0025_01,Earth,0,F/6/S,TRAPPIST-1e,15,0,0,225,0,998,0,Karard Brookenson,0
0026_01,Europa,0,C/0/P,55 Cancri e,34,0,22,6073,0,1438,328,Anyoni Unconary,0
0028_01,Mars,0,F/8/P,TRAPPIST-1e,43,0,1125,0,136,48,0,Ceros Mare,0
0030_01,Earth,0,G/4/S,TRAPPIST-1e,32,0,0,850,81,437,453,Ginia Morsentley,0
0031_01,Mars,0,F/9/P,TRAPPIST-1e,47,0,214,0,1411,0,1229,Coobix Datie,1
0031_02,Mars,0,F/9/P,TRAPPIST-1e,2,0,0,0,0,0,0,Cinets Datie,1
0031_03,Mars,0,F/9/P,TRAPPIST-1e,20,0,,0,1750,990,0,Dontch Datie,1
0034_01,Europa,1,D/1/S,55 Cancri e,28,0,0,0,0,0,0,Ziba Oingwhedly,1
0035_01,Mars,0,D/1/P,55 Cancri e,23,0,784,964,0,951,0,Luse Butte,0
0036_01,Earth,0,F/8/S,55 Cancri e,15,,0,492,48,20,401,Marina Leodger,0
0038_01,Earth,0,F/10/S,55 Cancri e,20,0,554,195,0,2606,0,Loise Wheelez,0
0039_01,Earth,1,G/1/P,55 Cancri e,30,0,0,0,,0,0,Jorgie Batthewitt,0
0041_01,Earth,1,G/2/P,TRAPPIST-1e,17,0,0,0,0,0,0,Margia Moodsey,1
0043_01,Europa,0,B/3/P,TRAPPIST-1e,45,0,0,164,45,2511,855,Ankalik Cylistrand,0
0044_01,Earth,1,G/3/P,TRAPPIST-1e,55,0,0,0,0,0,0,Jodye Coopelandez,0
0044_02,Earth,1,G/3/P,55 Cancri e,4,0,0,0,0,0,0,Kayne Coopelandez,1
0044_03,Earth,1,G/3/P,PSO J318.5-22,21,0,0,0,0,0,0,Cassa Coopelandez,1
0045_01,Mars,0,F/10/P,TRAPPIST-1e,21,0,970,0,180,0,64,Zelowl Chmad,0
0045_02,Mars,1,F/10/P,,19,0,0,0,0,0,0,Mass Chmad,1
0050_01,Earth,0,E/1/S,55 Cancri e,35,0,790,0,0,,0,Sony Lancis,0
